Time;EnemyLength;NoteID;;;;
00:00:189,873406333334;1;A;;0,189873406;;
00:01:518,98732533333;1;D;09:39,0;1,518,98732533333;;
00:02:088,60757633333;1;W;00:02:088,60757633333;2,088,60757633333;;
00:03:227,84807833333;1;A;09:57,7;3,417,72149533333;;
00:04:556,96199733333;1;D;13:17,0;4,556,96199733333;;
00:05:126,58224833333;1;W;07:06,6;5,126,58224833333;;
00:05:696,20249933333;1;S;13:35,7;5,696202499;;
00:06:455,69616733333;1;A;10:44,6;7,405,063252;;
00:07:784,81008633333;1;D;17:04,3;8,544,30375433333;;
00:09:303,79742233333;1;W;17:04,3;;;
00:09:493,67083933333;1;W;;;;
00:09:873,41767333333;1;D;;;;
00:010:063,2910903333;1;A;;9,303,79742233333;;
00:010:443,0379243333;1;S;;;;
00:010:632,9113413333;1;S;;;;
00:012:151,8986773333;1;A;00:012:151,8986773333;12,151,8986773333;;
00:013:670,8860133333;1;D;00:013:670,8860133333;13,670,8860133333;;
00:014:240,5062643333;1;W;00:014:240,5062643333;14,240,5062643333;;
00:015:379,7467663333;1;A;00:015:569,6201833333;15,37974677;;
00:016:708,8606853333;1;D;00:016:708,8606853333;16,708,8606853333;;
00:017:278,4809363333;1;W;00:017:278,4809363333;17,278,4809363333;;
00:017:848,1011873333;1;S;00:017:848,1011873333;17,848,1011873333;;
00:018:607,5948553333;1;A;00:018:607,5948553333;18,607,5948553333;;
00:019:936,7087743333;1;S;00:020:316,4556083333;19,93670877;;
00:021:455,6961103333;1;W;00:021:455,6961103333;21,455,6961103333;;
00:021:645,5695273333;1;W;00:021:455,6961103333;21,64556953;;
00:022:025,3163613333;1;D;00:022:025,3163613333;22,025,3163613333;;
00:022:215,1897783333;1;A;00:022:025,3163613333;22,21518978;;
00:022:594,9366123333;1;S;00:022:594,9366123333;22,594,9366123333;;
00:022:784,8100293333;1;S;00:022:594,9366123333;22,78481003;;
00:023:164,5568633333;1;W;00:023:164,5568633333;23,164,5568633333;;
00:023:544,3036973333;1;A;00:023:544,3036973333;23,544,3036973333;;
00:023:924,0505313333;1;D;00:023:924,0505313333;23,924,0505313333;;
00:024:303,7973653333;1;A;00:024:303,7973653333;24,303,7973653333;;
00:024:303,7973653333;1;D;00:024:303,7973653333;24,303,7973653333;;
00:027:341,7720373333;1;A;00:027:341,7720373333;27,341,7720373333;;
00:027:531,6454543333;1;A;00:027:531,6454543333;27,531,6454543333;;
00:027:721,5188713333;1;A;"00:027:911;3922883333";27,72151887;;
00:028:860,7593733333;1;S;00:028:101,2657053333;28,86075937;;
00:029:620,2530413333;1;W;00:028:481,0125393333;29,62025304;;
00:030:379,7467093333;1;D;00:028:670,88596;28,670,88596;;
00:030:569,6201263333;1;D;00:029:050,6327903333;29,050,6327903333;;
00:030:759,4935433333;1;D;00:029:430,3796243333;30,75949354;;
00:031:898,7340453333;1;W;00:029:620,2530413333;31,89873405;;
00:032:658,2277133333;1;S;00:029:810,1264583333;32,65822771;;
00:033:417,7213813333;1;A;;33,41772138;;
00:033:987,3416323333;1;A;00:033:987,3416323333;33,987,3416323333;;
00:034:556,9618833333;1;A;00:034:556,9618833333;34,556,9618833333;;
00:035:316,4555513333;1;A;00:035:316,4555513333;35,316,4555513333;;
00:036:075,9492193333;1;W;00:036:075,9492193333;36,075,9492193333;;
00:036:455,6960533333;1;S;00:036:455,6960533333;36,455,6960533333;;
00:037:025,3163043333;1;W;00:037:025,3163043333;37,025,3163043333;;
00:038:354,4302233333;1;S;00:038:354,4302233333;38,354,4302233333;;
00:039:113,9238913333;1;W;00:039:113,9238913333;39,113,9238913333;;
00:039:493,6707253333;1;W;00:039:493,6707253333;39,493,6707253333;;
00:039:873,4175593333;1;A;00:039:873,4175593333;39,873,4175593333;;
00:039:873,4175593333;1;S;00:039:873,4175593333;39,873,4175593333;;
00:041:012,6580613333;1;W;00:041:012,6580613333;41,012,6580613333;;
00:041:582,2783123333;1;S;00:041:582,2783123333;41,582,2783123333;;
00:042:531,6453973333;1;W;00:042:531,6453973333;42,531,6453973333;;
00:042:911,3922313333;1;A;00:042:911,3922313333;42,911,3922313333;;
00:042:911,3922313333;1;S;00:042:911,3922313333;42,911,3922313333;;
00:043:291,1390653333;1;D;;43,29113907;;
00:044:050,6327333333;1;W;00:044:050,6327333333;44,050,6327333333;;
00:044:620,2529843333;1;S;00:044:620,2529843333;44,620,2529843333;;
00:045:949,3669033333;1;W;00:045:949,3669033333;45,949,3669033333;;
00:046:708,8605713333;1;D;00:046:708,8605713333;46,708,8605713333;;
00:048:037,9744903333;1;D;00:048:037,9744903333;48,037,9744903333;;
00:048:987,3415753333;1;A;00:048:987,3415753333;48,987,3415753333;;
00:049:746,8352433333;1;D;00:049:746,8352433333;49,746,8352433333;;
00:050:506,3289113333;1;W;00:050:506,3289113333;50,506,3289113333;;
00:051:265,8225793333;1;A;00:051:265,8225793333;51,265,8225793333;;
00:051:645,5694133333;1;S;00:051:645,5694133333;51,645,5694133333;;
00:052:025,3162473333;1;W;00:052:025,3162473333;52,025,3162473333;;
00:053:164,5567493333;1;D;00:053:164,5567493333;53,164,5567493333;;
00:053:734,1770003333;1;S;00:053:734,1770003333;53,734,1770003333;;
00:054:683,5440853333;1;W;00:054:683,5440853333;54,683,5440853333;;
00:055:063,2909193333;1;S;00:055:063,2909193333;55,063,2909193333;;
00:055:063,2909193333;1;A;00:055:063,2909193333;55,063,2909193333;;
00:055:443,0377533333;;D;;55,44303775;;
00:056:202,5314213333;1;W;00:056:202,5314213333;56,202,5314213333;;
00:056:772,1516723333;1;S;00:056:772,1516723333;56,772,1516723333;;
00:058:101,2655913333;1;A;00:058:101,2655913333;58,101,2655913333;;
00:058:860,7592593333;1;D;00:058:860,7592593333;58,860,7592593333;;
00:059:430,3795103333;1;W;00:059:430,3795103333;59,430,3795103333;;
00:059:430,3795103333;1;A;00:059:430,3795103333;59,430,3795103333;;
00:059:999,9997613333;1;W;00:059:999,9997613333;59,999,9997613333;;
00:059:999,9997613333;1;D;00:059:999,9997613333;59,999,9997613333;;
00:060:569,6200123333;1;W;00:060:569,6200123333;60,569,6200123333;;
00:060:569,6200123333;1;A;00:060:569,6200123333;60,569,6200123333;;
00:061:139,2402633333;1;W;00:061:139,2402633333;61,139,2402633333;;
00:061:518,9870973333;1;W;00:061:518,9870973333;61,518,9870973333;;
00:061:898,7339313333;1;A;00:061:898,7339313333;61,898,7339313333;;
00:062:278,4807653333;1;S;00:062:278,4807653333;62,278,4807653333;;
00:062:278,4807653333;1;D;00:062:278,4807653333;62,278,4807653333;;
00:063:037,9744333333;1;D;00:063:037,9744333333;63,037,9744333333;;
00:064:177,2149353333;1;S;00:064:177,2149353333;64,177,2149353333;;
00:065:316,4554373333;1;W;00:065:316,4554373333;65,316,4554373333;;
00:065:886,0756883333;1;D;00:065:886,0756883333;65,886,0756883333;;
00:066:455,6959393333;1;A;;66,45569594;;
00:067:215,1896073333;1;D;00:067:215,1896073333;67,215,1896073333;;
00:068:354,4301093333;1;D;00:068:354,4301093333;68,354,4301093333;;
00:068:924,0503603333;1;W;00:068:924,0503603333;68,924,0503603333;;
00:069:493,6706113333;1;S;;69,49367061;;
00:070:253,1642793333;1;D;00:070:253,1642793333;70,253,1642793333;;
00:070:822,7845303333;1;A;;70,82278453;;
00:071:392,4047813333;1;S;;71,39240478;;
00:071:962,0250323333;1;W;00:071:962,0250323333;71,962,0250323333;;
00:072:341,7718663333;1;W;00:072:341,7718663333;72,341,7718663333;;
00:073:101,2655343333;1;A;00:073:101,2655343333;73,101,2655343333;;
00:073:101,2655343333;1;D;00:073:101,2655343333;73,101,2655343333;;
00:073:670,8857853333;1;W;00:073:670,8857853333;73,670,8857853333;;
00:073:670,8857853333;1;S;00:073:670,8857853333;73,670,8857853333;;
00:074:240,5060363333;1;W;00:074:240,5060363333;74,240,5060363333;;
00:074:240,5060363333;1;D;00:074:240,5060363333;74,240,5060363333;;
00:074:810,1262873333;1;S;00:074:810,1262873333;74,810,1262873333;;
00:075:189,8731213333;1;A;00:075:189,8731213333;75,189,8731213333;;
00:075:569,6199553333;1;D;00:075:569,6199553333;75,569,6199553333;;
00:075:949,3667893333;1;S;00:075:949,3667893333;75,949,3667893333;;
00:077:468,3541253333;1;A;;77,46835413;;
00:077:468,3541253333;1;D;;77,46835413;;
00:078:987,341461333;1;A;;78,98734146;;
00:079:746,835129333;1;D;00:079:746,835129333;79,746,835129333;;
00:080:506,3287973329;1;A;00:080:506,3287973329;80,506,3287973329;;
00:080:696,2022143329;1;A;00:080:696,2022143329;80,696,2022143329;;
00:080:886,0756313329;1;A;00:080:886,0756313329;80,886,0756313329;;
00:081:075,94905;1;A;00:081:075,94905;81,075,94905;;
00:081:265,8224653328;1;A;00:081:265,8224653328;81,265,8224653328;;
00:081:835,4427163328;1;S;;81,83544272;;
00:082:405,0629673328;1;W;;82,40506297;;
00:082:594,9363843328;1;D;;82,59493638;;
00:083:164,5566353327;1;D;00:083:164,5566353327;83,164,5566353327;;
00:084:303,7971373326;1;W;00:084:303,7971373326;84,303,7971373326;;
00:084:493,6705543326;1;W;00:084:493,6705543326;84,493,6705543326;;
00:084:683,5439713326;1;W;00:084:683,5439713326;84,683,5439713326;;
00:084:873,4173883326;1;W;00:084:873,4173883326;84,873,4173883326;;
00:085:063,2908053326;1;W;00:085:063,2908053326;85,063,2908053326;;
00:086:202,5313073325;1;A;;86,20253131;;
00:086:962,0249753325;1;S;00:086:962,0249753325;86,962,0249753325;;
00:087:341,7718093324;1;S;00:087:341,7718093324;87,341,7718093324;;
00:087:721,5186433324;1;S;00:087:721,5186433324;87,721,5186433324;;
00:089:620,2528133323;1;D;;;;
00:089:620,2528133323;1;A;;;;
00:91:139,2401493322;1;A;;91,13924015;;
00:092:658,2274853321;1;D;;92,65822749;;
00:092:848,100902332;1;D;00:092:278,4806513321;92,8481009;;
00:093:037,974319332;1;D;;93,03797432;;
00:093:227,847736332;1;D;;93,22784774;;
00:093:417,721153332;1;D;;93,41772115;;
00:093:987,341404332;1;W;00:093:797,467987332;93,9873414;;
00:094:556,9616553319;1;S;00:095:316,4553233319;94,55696166;;
00:094:746,8350723319;1;A;;94,74683507;;
00:095:316,4553233319;1;A;;95,31645532;;
00:096:455,6958253318;1;S;00:096:455,6958253318;96,455,6958253318;;
00:096:645,5692423318;1;S;;96,64556924;;
00:096:835,4426593318;1;S;;96,83544266;;
00:097:025,3160763323;1;S;;97,02531608;;
00:097:215,1894933313;1;S;00:097:215,1894933313;97,215,1894933313;;
00:098:354,4299953313;1;D;00:098:354,4299953313;98,354,4299953313;;
00:099:113,9236633313;1;W;00:099:113,9236633313;99,113,9236633313;;
00:099:493,6704973313;1;W;00:0100:253,164165331;99,4936705;;
00:099:873,4173313313;1;W;00:0101:392,404667331;99,87341733;;
00:0100:253,164165331;1;W;;100,2531642;;
00:0102:531,645169331;1;W;00:0102:531,645169331;102,531,645169331;;
