Time;EnemyLength;NoteID;
00:01:518,98732533333;1;W;
00:02:088,60757633333;1;S;
00:03:417,72149533333;1;A;
00:03:797,46832933333;1;D;
00:04:177,21516333333;1;W;
00:04:556,96199733333;1;S;
00:05:126,58224833333;1;S;
00:05:696,20249933333;1;A;
00:06:455,69616733333;1;A;
00:08:164,55692033333;1;S;
00:08:164,55692033333;1;W;
00:09:113,92400533333;1;A;
00:09:113,92400533333;1;S;
00:09:683,54425633333;1;S;
00:09:873,41767333333;1;D;
00:010:253,1645073333;1;A;
00:010:253,1645073333;1;D;
00:011:392,4050093333;1;A;
00:011:582,2784263333;1;W;
00:011:772,1518433333;1;S;
00:011:962,0252603333;1;D;
00:013:670,8860133333;1;S;
00:014:240,5062643333;1;W;
00:015:569,6201833333;1;A;
00:015:759,4936003333;1;S;
00:015:949,3670173333;1;D;
00:016:329,1138513333;1;W;
00:016:708,8606853333;1;W;
00:017:278,4809363333;1;W;
00:017:848,1011873333;1;W;
00:017:848,1011873333;1;D;
00:018:227,8480213333;1;D;
00:018:607,5948553333;1;S;
00:020:316,4556083333;1;W;
00:020:316,4556083333;1;S;
00:020:886,0758593333;1;D;
00:021:455,6961103333;1;D;
00:022:025,3163613333;1;S;
00:022:405,0631953333;1;W;
00:022:974,6834463333;1;A;
00:023:164,5568633333;1;W;
00:023:354,4302803333;1;S;
00:023:544,3036973333;1;D;
00:023:734,1771143333;1;S;
00:023:924,0505313333;1;W;
00:024:113,9239483333;1;A;
00:024:303,7973653333;1;D;
00:027:341,7720373333;1;S;
00:027:531,6454543333;1;S;
00:027:721,5188713333;1;W;
00:028:481,0125393333;1;A;
00:029:430,3796243333;1;A;
00:029:810,1264583333;1;S;
00:030:379,7467093333;1;W;
00:030:759,4935433333;1;A;
00:031:139,2403773333;1;D;
00:031:898,7340453333;1;D;
00:033:037,9745473333;1;W;
00:033:987,3416323333;1;S;
00:034:367,0884663333;1;W;
00:036:455,6960533333;1;S;
00:036:645,5694703333;1;D;
00:036:835,4428873333;1;A;
00:037:594,9365553333;1;S;
00:037:974,6833893333;1;D;
00:038:924,0504743333;1;W;
00:041:772,1517293333;1;A;
00:042:531,6453973333;1;S;
00:043:101,2656483333;1;D;
00:045:569,6200693333;1;A;
00:045:759,4934863333;1;W;
00:045:949,3669033333;1;W;
00:046:708,8605713333;1;W;
00:047:658,2276563333;1;S;
00:048:037,9744903333;1;D;
00:050:126,5820773333;1;A;
00:050:316,4554943333;1;S;
00:050:506,3289113333;1;W;
00:051:265,8225793333;1;S;
00:052:215,1896643333;1;D;
00:052:594,9364983333;1;W;
00:054:683,5440853333;1;W;
00:054:873,4175023333;1;S;
00:055:063,2909193333;1;D;
00:055:822,7845873333;1;A;
00:056:772,1516723333;1;S;
00:057:151,8985063333;1;W;
00:059:240,5060933333;1;S;
00:059:430,3795103333;1;D;
00:059:620,2529273333;1;D;
00:60:379,7465953333;1;W;
00:61:329,1136803333;1;S;
00:61:708,8605143333;1;D;
00:63:797,4681013333;1;S;
00:63:987,3415183333;1;D;
00:64:177,2149353333;1;W;
00:64:936,7086033333;1;A;
00:65:886,0756883333;1;D;
00:66:265,8225223333;1;W;
00:68:354,4301093333;1;W;
00:68:544,3035263333;1;W;
00:68:734,1769433333;1;D;
00:69:493,6706113333;1;A;
00:70:443,0376963333;1;S;
00:70:822,7845303333;1;W;
00:71:582,2781983333;1;S;
00:72:341,7718663333;1;D;
00:73:291,1389513333;1;D;
00:74:050,6326193333;1;W;
00:74:430,3794533333;1;A;
00:74:999,9997043333;1;D;
00:75:379,7465383333;1;A;
00:77:848,1009593333;1;S;
