Time,EnemyLength,NoteID
00:01:519,1,W
00:02:089,1,A
00:03:418,1,S
00:03:797,1,W
00:04:177,1,W
00:04:557,1,A
00:05:127,1,A
00:05:696,1,A
00:06:456,1,S
00:08:165,1,D
00:08:544,1,W
00:09:114,1,A
00:09:684,1,A
00:10:253,1,D
00:11:392,1,A
00:11:962,1,S
00:13:671,1,W
00:14:240,1,W
00:15:570,1,S
00:15:949,1,D
00:16:709,1,A
00:17:278,1,W
00:17:848,1,W
00:18:228,1,A
00:18:608,1,W
00:20:316,1,A
00:20:316,1,W
00:20:886,1,D
00:20:886,1,S
00:21:266,1,A
00:21:266,1,S
00:21:835,1,D
00:21:835,1,S
00:22:405,1,A
00:22:405,1,W
00:23:164,1,S
00:23:544,1,D
00:23:924,1,D
00:24:304,1,W
00:25:253,1,A
00:26:013,1,D
00:26:962,1,A
00:27:342,1,S
00:27:532,1,S
00:27:721,1,S
00:29:430,1,A
00:29:810,1,W
